review_text,label,platform,product_id,product_name,rating,date
không ổn lắm,Negative,manual,manual,manual,1,
tệ thật,Negative,manual,manual,manual,1,
chán lắm,Negative,manual,manual,manual,1,
thất vọng quá,Negative,manual,manual,manual,1,
dở tệ,Negative,manual,manual,manual,1,
không như mong đợi,Negative,manual,manual,manual,1,
kém chất lượng,Negative,manual,manual,manual,1,
hàng xấu,Negative,manual,manual,manual,1,
không dùng được,Negative,manual,manual,manual,1,
quá tệ,Negative,manual,manual,manual,1,
hỏng rồi,Negative,manual,manual,manual,1,
không tốt,Negative,manual,manual,manual,1,
chất lượng kém,Negative,manual,manual,manual,1,
rất tệ,Negative,manual,manual,manual,1,
đồ dỏm,Negative,manual,manual,manual,1,
hàng giả,Negative,manual,manual,manual,1,
không đáng tiền,Negative,manual,manual,manual,1,
mua xong hối hận,Negative,manual,manual,manual,1,
giao hàng chậm tệ,Negative,manual,manual,manual,1,
đóng gói ẩu,Negative,manual,manual,manual,1,
hàng lỗi,Negative,manual,manual,manual,1,
không hoạt động,Negative,manual,manual,manual,1,
vỡ khi nhận,Negative,manual,manual,manual,1,
màu sai,Negative,manual,manual,manual,1,
size sai,Negative,manual,manual,manual,1,
mô tả sai hoàn toàn,Negative,manual,manual,manual,1,
shop bán hàng tệ,Negative,manual,manual,manual,1,
không phản hồi,Negative,manual,manual,manual,1,
thất vọng hoàn toàn,Negative,manual,manual,manual,1,
tệ hơn mong đợi,Negative,manual,manual,manual,1,
bình thường thôi,Neutral,manual,manual,manual,3,
ổn thôi,Neutral,manual,manual,manual,3,
tạm được,Neutral,manual,manual,manual,3,
không đặc biệt,Neutral,manual,manual,manual,3,
hàng đúng mô tả,Neutral,manual,manual,manual,3,
như hình,Neutral,manual,manual,manual,3,
dùng được,Neutral,manual,manual,manual,3,
chấp nhận được,Neutral,manual,manual,manual,3,
không tệ không tốt,Neutral,manual,manual,manual,3,
trung bình,Neutral,manual,manual,manual,3,
giá tương xứng,Neutral,manual,manual,manual,3,
oke thôi,Neutral,manual,manual,manual,3,
tạm ổn,Neutral,manual,manual,manual,3,
không có gì nổi bật,Neutral,manual,manual,manual,3,
bình thường,Neutral,manual,manual,manual,3,
dùng tạm,Neutral,manual,manual,manual,3,
đúng mô tả thôi,Neutral,manual,manual,manual,3,
giao đúng hàng,Neutral,manual,manual,manual,3,
không ấn tượng,Neutral,manual,manual,manual,3,
hàng bình thường,Neutral,manual,manual,manual,3,
tốt lắm,Positive,manual,manual,manual,5,
rất ưng,Positive,manual,manual,manual,5,
chất lượng tốt,Positive,manual,manual,manual,5,
ok lắm,Positive,manual,manual,manual,5,
rất thích,Positive,manual,manual,manual,5,
tuyệt vời,Positive,manual,manual,manual,5,
đẹp lắm,Positive,manual,manual,manual,5,
hàng xịn,Positive,manual,manual,manual,5,
chất lượng,Positive,manual,manual,manual,5,
ưng ý,Positive,manual,manual,manual,5,
rất tốt,Positive,manual,manual,manual,5,
tuyệt,Positive,manual,manual,manual,5,
đỉnh lắm,Positive,manual,manual,manual,5,
xuất sắc,Positive,manual,manual,manual,5,
hoàn hảo,Positive,manual,manual,manual,5,
giao nhanh tốt,Positive,manual,manual,manual,5,
đóng gói cẩn thận tốt,Positive,manual,manual,manual,5,
chính hãng tốt,Positive,manual,manual,manual,5,
sẽ mua lại,Positive,manual,manual,manual,5,
recommend,Positive,manual,manual,manual,5,
